"country","productcategory","average_cost"
"Monaco","realestate","5490.31"
"Bermuda","realestate","3250.00"
"Singapore","realestate","2734.54"
"Papua New Guinea","realestate","2462.49"
"South Sudan","realestate","2350.00"
"Hong Kong","realestate","2294.53"
"United Arab Emirates","realestate","2228.55"
"British Virgin Islands","realestate","1833.33"
"Gibraltar","realestate","1728.41"
"Nauru","realestate","1698.95"
"Jersey","realestate","1665.23"
"Sierra Leone","realestate","1438.66"
"Iceland","realestate","1261.42"
"Switzerland","realestate","1254.33"
"United States","realestate","1211.97"
"Qatar","realestate","1203.73"
"Luxembourg","realestate","1185.81"
"Ireland","realestate","1183.50"
"Chad","realestate","1119.63"
"Marshall Islands","realestate","1116.67"
"Samoa","realestate","1112.12"
"Isle Of Man","realestate","1060.88"
"Canada","realestate","1052.90"
"Bahamas","realestate","1050.00"
"Liechtenstein","realestate","1036.18"
"Sint Maarten","realestate","1011.82"
"Netherlands","realestate","1006.33"
"Australia","realestate","1002.63"
"Mali","realestate","1000.00"
"Vanuatu","realestate","995.46"
"Israel","realestate","990.73"
"Congo","realestate","980.83"
"Denmark","realestate","977.13"
"Bahrain","realestate","963.35"
"United Kingdom","realestate","959.40"
"Norway","realestate","921.35"
"French Polynesia","realestate","912.47"
"Liberia","realestate","911.88"
"Vatican City","realestate","895.68"
"Seychelles","realestate","875.37"
"Gabon","realestate","863.45"
"Guadeloupe","realestate","843.00"
"Andorra","realestate","823.49"
"New Zealand","realestate","820.77"
"New Caledonia","realestate","809.45"
"Iran","realestate","806.14"
"Anguilla","realestate","800.00"
"Maldives","realestate","786.23"
"Malta","realestate","783.68"
"Greenland","realestate","781.74"
"French Guiana","realestate","777.14"
"Aruba","realestate","770.54"
"Djibouti","realestate","763.09"
"Belgium","realestate","760.35"
"Kuwait","realestate","757.88"
"Turks And Caicos Islands","realestate","750.00"
"Sweden","realestate","730.21"
"France","realestate","723.02"
"Austria","realestate","719.70"
"Mozambique","realestate","716.04"
"Nigeria","realestate","713.29"
"Germany","realestate","712.48"
"Finland","realestate","711.79"
"Tonga","realestate","711.57"
"Antigua And Barbuda","realestate","711.57"
"North Korea","realestate","711.57"
"Comoros","realestate","711.57"
"Brunei","realestate","708.33"
"Reunion","realestate","704.69"
"Timor-Leste","realestate","680.00"
"El Salvador","realestate","672.45"
"Spain","realestate","661.66"
"Cyprus","realestate","660.05"
"Portugal","realestate","657.33"
"Martinique","realestate","656.83"
"Eritrea","realestate","650.00"
"Armenia","realestate","649.15"
"Suriname","realestate","648.20"
"Zambia","realestate","647.35"
"Turkmenistan","realestate","642.66"
"Ivory Coast","realestate","640.26"
"Haiti","realestate","636.49"
"Cuba","realestate","634.87"
"Faroe Islands","realestate","628.63"
"Italy","realestate","627.99"
"Panama","realestate","627.44"
"Rwanda","realestate","619.63"
"Japan","realestate","616.04"
"Falkland Islands","realestate","615.00"
"Saint Helena","realestate","615.00"
"Angola","realestate","613.33"
"Saint Kitts And Nevis","realestate","610.53"
"Laos","realestate","609.86"
"San Marino","realestate","597.22"
"Czech Republic","realestate","595.95"
"Puerto Rico","realestate","588.04"
"Solomon Islands","realestate","587.24"
"Ghana","realestate","570.98"
"Senegal","realestate","570.23"
"Madagascar","realestate","557.75"
"Uruguay","realestate","557.65"
"Zimbabwe","realestate","557.08"
"Lebanon","realestate","556.98"
"Yemen","realestate","554.63"
"Paraguay","realestate","554.53"
"Uganda","realestate","552.18"
"Niger","realestate","540.78"
"Guinea","realestate","540.38"
"Honduras","realestate","538.04"
"Slovenia","realestate","526.42"
"Ecuador","realestate","522.87"
